fg%,3p%,ft,tov%,ortg_max,drtg_max,home
0.547,0.543,13.0,8.9,214.0,132.0,0
0.563,0.486,7.0,11.6,237.0,115.0,0
0.439,0.317,21.0,6.9,186.0,139.0,0
0.5,0.474,13.0,13.8,244.0,131.0,1
0.481,0.308,15.0,6.4,208.0,116.0,1
0.474,0.375,21.0,14.8,145.0,115.0,0
0.417,0.206,18.0,19.9,159.0,126.0,1
0.505,0.321,14.0,10.4,218.0,120.0,1
0.544,0.455,27.0,15.9,201.0,115.0,1
0.495,0.304,14.0,10.5,163.0,126.0,0
0.52,0.321,13.0,6.2,154.0,131.0,0
0.531,0.485,9.0,11.2,258.0,118.0,0
0.389,0.378,14.0,9.2,240.0,127.0,0
0.443,0.356,18.0,17.7,160.0,126.0,0
0.517,0.472,16.0,12.9,140.0,145.0,1
0.5,0.357,15.0,11.9,149.0,118.0,1
0.451,0.397,9.0,12.8,134.0,123.0,0
0.477,0.395,12.0,14.5,179.0,120.0,0
0.474,0.55,7.0,7.4,174.0,111.0,1
0.378,0.25,17.0,11.7,141.0,118.0,1
0.519,0.5,17.0,8.4,283.0,120.0,1
0.447,0.385,12.0,7.4,161.0,135.0,0
0.407,0.351,24.0,14.3,191.0,122.0,0
0.558,0.407,22.0,17.0,227.0,110.0,1
0.375,0.237,11.0,13.9,121.0,86.0,1
0.42,0.375,26.0,12.7,132.0,126.0,0
0.357,0.207,11.0,13.3,125.0,104.0,1
0.469,0.429,21.0,12.6,164.0,106.0,0
0.556,0.435,18.0,10.5,157.0,125.0,1
0.356,0.231,10.0,12.9,134.0,102.0,1
0.605,0.481,23.0,7.5,212.0,138.0,0
0.49,0.345,18.0,13.1,183.0,127.0,1
0.454,0.342,18.0,6.1,225.0,125.0,0
0.405,0.257,9.0,15.0,178.0,108.0,0
0.429,0.385,8.0,6.0,175.0,132.0,0
0.506,0.379,6.0,9.1,157.0,107.0,0
0.457,0.296,12.0,11.4,153.0,134.0,1
0.439,0.306,22.0,6.0,148.0,129.0,0
0.351,0.24,19.0,17.2,202.0,113.0,1
